pid,found,majorcat,school,college_area,sex,age,graduy,gradum,industry,occupation,firm_size2,firm_size,firm_type,job_status,worktime1,worktime2,worktime3,income,health_insur,employ_insur,labor_union,labor_union2,gpa,leave_of_absence,graduate_college,arba,language_train,job_train,certification,birth_area,living_area,faedu,maedu,pre_parent_income,parent_income,military,weight,year,col_code,experience,colcode_2,elite_college,edu,general_highschool,transfer,career_ready,college_satisfaction,stem_major,lnincome,worktime,hourly_income,ln_hourly_income,lnworktime
58458,3,7,1,4,1,25.41666666666667,2014,2,42,5,1,1,4,1,54,0,0,168.95155,1,1,2,,3.5,1,,1,2,2,1,4,4,6,6,6,3,1,22.5555991973001,14,73133000,38,731330,0,0,0,0,3,4.7142859,0,5.129612,54,7276.1221,8.8923531,3.9889841
58464,3,7,1,11,1,26.33333333333333,2013,8,46,7,1,1,1,1,40,10,0,211.18944,1,1,2,,3.2,1,,2,2,2,2,8,8,4,4,5,5,1,24.0171821639685,14,73130000,19,731300,0,0,1,0,0,2.7142856,0,5.3527555,50,9822.7646,9.1924582,3.9120231
58480,3,7,1,3,1,25.16666666666667,2014,2,42,1,1,1,1,1,48,0,0,126.71366,1,1,2,,3.5,1,,2,2,2,2,3,3,4,4,1,1,1,31.4050711305026,14,73034000,20,730340,0,0,0,0,0,3.5714285,0,4.8419299,48,6139.2275,8.7224541,3.871201
58484,3,7,1,3,1,28.08333333333333,2014,2,58,2,2,2,1,1,45,5,0,211.18944,1,1,2,,3.9,1,,2,2,2,1,3,14,4,4,4,3,1,29.1371043287465,14,73104000,19,731040,0,0,1,0,2,4.1428571,0,5.3527555,50,9822.7646,9.1924582,3.9120231
58494,3,7,1,7,1,24.5,2014,2,47,1,9,9,1,2,40,0,0,129.8815,2,2,3,,4,1,,1,2,2,1,7,7,4,4,4,4,1,27.4625005360423,14,73108000,8,731080,0,0,1,0,4,4.2857141,0,4.8666224,40,7551.25,8.9294682,3.6888795
58496,3,7,1,14,2,22.5,2014,2,75,1,8,5,1,1,50,5,2,126.71366,1,1,2,,4.3,2,,1,2,2,1,5,9,6,4,5,6,0,41.7913592753107,14,73001000,19,730010,0,0,1,0,4,3.5714285,0,4.8419299,57,5169.876,8.5506039,4.0430512
58507,3,7,1,14,1,25.08333333333333,2014,2,31,9,6,6,1,1,60,0,0,351.6304,1,1,3,,3.8,1,,2,2,2,2,13,1,6,4,4,4,1,27.3947203916722,14,73032000,18,730320,0,0,1,0,3,1.8571428,0,5.8625808,60,13629.085,9.5199614,4.0943446
58524,3,7,1,1,2,23.08333333333333,2014,2,85,1,8,8,6,1,40,0,0,137.27313,1,1,2,,3.8,2,,2,2,2,2,5,1,6,6,5,5,0,15.0591498162445,14,73141000,9,731410,0,0,1,0,3,2.8571429,0,4.9219728,40,7980.9961,8.9848185,3.6888795
58529,3,7,1,8,2,21.83333333333333,2014,2,33,1,3,3,1,1,40,0,0,253.42732,1,1,2,,3.4,2,,2,2,2,1,1,8,4,4,5,5,0,16.3031022968616,14,73070000,7,730700,0,0,1,0,2,3.4285715,0,5.5350771,40,14734.146,9.5979233,3.6888795
58531,3,7,1,8,2,22.83333333333333,2014,2,46,1,7,6,1,1,40,5,0,168.95155,1,1,2,,3.5,2,,2,2,2,1,5,5,6,4,8,8,0,16.3031022968616,14,73070000,17,730700,0,0,1,0,1,3.4285715,0,5.129612,45,8731.3467,9.0746746,3.8066626
58557,3,7,1,3,2,21.91666666666667,2014,2,33,9,3,3,1,1,45,5,1,171.06345,1,1,2,,4.2,2,,1,2,2,2,9,1,4,4,5,5,0,16.345531895251,14,73036000,18,730360,0,0,1,0,5,3.4285715,0,5.1420345,51,7800.4307,8.9619341,3.9318256
58563,3,7,1,1,1,27.16666666666667,2014,2,91,6,1,1,1,2,16,0,0,42.237888,2,2,2,,4.2,1,,2,2,1,2,8,8,4,4,3,3,1,9.259555874483739,14,73112000,7.5,731120,0,0,1,0,2,3.2857144,0,3.7433176,16,6139.228,8.7224541,2.7725887
58564,3,7,1,1,1,24.41666666666667,2014,2,59,5,2,2,1,1,40,0,0,126.71366,2,2,2,,4.2,1,,1,2,2,1,1,1,4,4,4,4,1,9.259555874483739,14,73112000,8.5,731120,0,0,1,0,0,3.8571429,0,4.8419299,40,7367.0732,8.9047756,3.6888795
58583,3,7,1,8,1,25.91666666666667,2014,2,58,5,6,5,1,1,40,6,0,316.78415,1,1,2,,3.8,1,,1,1,2,1,1,1,6,4,7,7,1,12.8982671074179,14,73089000,7,730890,0,0,1,0,0,3.5714285,0,5.7582207,46,16015.377,9.6813049,3.8286414
58600,3,7,1,8,2,23.91666666666667,2014,2,56,6,2,2,1,2,40,0,0,116.15419,2,2,2,,3.4,1,,1,2,2,1,12,1,4,4,3,0,0,11.782768314105,14,73131000,2,731310,0,0,0,0,5,3,0,4.7549186,40,6753.1504,8.8177643,3.6888795
58602,3,7,1,8,2,23.91666666666667,2014,2,59,5,6,6,1,1,40,10,0,176.34319,1,1,2,,4.2,2,,1,2,2,2,5,5,4,4,4,3,0,11.782768314105,14,73131000,25,731310,0,0,1,0,1,5,0,5.1724319,50,8202.0088,9.0121346,3.9120231
58606,3,7,1,8,1,26,2014,2,90,5,2,2,1,2,40,5,1,158.39207,2,2,2,,4,1,,1,2,2,1,11,1,6,6,4,5,1,11.1797836541081,14,73131000,8,731310,0,0,1,0,1,4.7142859,0,5.0650735,46,8007.6885,8.9881573,3.8286414
58622,3,7,1,1,2,22.41666666666667,2014,2,75,1,9,6,1,1,40,0,0,168.95155,1,1,2,,3.8,2,,2,2,2,2,5,1,4,4,3,3,0,22.4637978697983,14,73088000,10,730880,0,0,1,0,5,3.8571429,0,5.129612,40,9822.7646,9.1924582,3.6888795
58642,3,7,1,8,1,23.83333333333333,2014,2,75,1,6,6,1,1,40,0,0,158.39207,1,1,2,,3.9,1,,2,2,2,1,8,1,4,4,5,4,1,25.5738631778416,14,73017000,9,730170,0,0,1,0,1,3.5714285,0,5.0650735,40,9208.8418,9.1279192,3.6888795
58652,3,7,1,8,2,22.16666666666667,2014,2,47,6,4,4,1,1,40,10,0,147.83261,1,1,2,,3.6,2,,1,2,2,2,8,8,4,5,5,5,0,27.4940818733379,14,73030000,15,730300,0,0,1,0,3,2,0,4.9960804,50,6875.9355,8.835783,3.9120231
58672,3,7,1,8,2,22.25,2014,2,28,1,2,2,1,1,45,0,0,137.27313,1,1,2,,3.8,2,,2,2,2,1,5,5,5,5,5,6,0,25.5726121351707,14,73070000,21,730700,0,0,1,0,4,4,0,4.9219728,45,7094.2188,8.8670359,3.8066626
58676,3,7,1,8,1,26,2014,2,56,6,1,1,1,2,36,12,4,126.71366,2,2,2,,3.6,1,,1,2,2,2,1,16,6,4,4,3,1,22.4575586744052,14,73077000,7,730770,0,0,1,0,0,4.2857141,0,4.8419299,52,5666.9795,8.6424112,3.9512436
58689,3,7,1,8,1,24.08333333333333,2014,2,75,5,6,6,2,2,45,2,0,137.27313,1,1,1,1,4.2,1,,1,2,2,2,5,5,6,4,5,5,1,25.7464100564432,14,73107000,17,731070,0,0,1,0,3,4,0,4.9219728,47,6792.3369,8.8235502,3.8501475
58713,3,7,1,3,2,23.5,2013,8,42,1,1,1,1,1,42,0,0,126.71366,1,1,2,,3.6,2,,1,2,1,1,3,3,6,4,3,3,0,27.5642880039261,14,73101000,7,731010,0,0,1,0,2,3,0,4.8419299,42,7016.2603,8.8559856,3.7376697
58715,3,7,1,14,1,23.91666666666667,2014,2,42,5,3,3,1,1,40,8,4,158.39207,1,3,2,,3.2,1,,2,2,2,2,3,3,4,4,4,4,1,17.2321892939555,14,73021000,3,730210,0,0,0,0,0,3,0,5.0650735,52,7083.7241,8.8655548,3.9512436
58717,3,7,1,14,2,27.16666666666667,2014,2,20,5,5,5,1,1,40,0,0,211.18944,3,3,3,,3.5,2,,2,1,2,1,14,14,6,6,3,4,0,24.9386801189297,14,73021000,17,730210,0,0,1,0,0,3.4285715,0,5.3527555,40,12278.456,9.4156017,3.6888795
58722,3,7,1,1,2,26.5,2013,8,29,1,6,6,1,1,40,0,0,158.39207,1,1,3,,3,2,,1,2,2,1,8,5,4,5,3,3,0,77.72284715898149,14,73061000,23,730610,0,0,1,0,0,4,0,5.0650735,40,9208.8418,9.1279192,3.6888795
58728,3,7,1,1,2,22.33333333333333,2014,2,96,6,1,1,1,1,48,2,0,147.83261,1,1,2,,4.2,2,,2,2,2,1,8,8,4,4,6,6,0,88.0750829115661,14,73071000,19,730710,0,0,1,0,2,4,0,4.9960804,50,6875.9355,8.835783,3.9120231
58729,3,7,1,1,2,22.5,2014,2,86,6,3,3,1,1,40,3,0,137.27313,1,1,1,2,3.5,2,,1,2,2,1,8,8,4,4,5,5,0,88.0750829115661,14,73071000,19,730710,0,0,0,0,1,3.5714285,0,4.9219728,43,7424.1826,8.9124975,3.7612002
58744,3,7,1,8,2,21.58333333333333,2014,2,47,7,,1,1,1,48,0,0,158.39207,1,1,1,1,3,2,,2,2,2,1,1,1,4,4,5,5,0,90.0840371182764,14,73040000,38,730400,0,0,1,0,1,4,0,5.0650735,48,7674.0347,8.9455976,3.871201
58760,3,7,1,8,1,25.08333333333333,2014,2,46,8,9,9,1,1,40,10,0,179.51102,3,3,2,,3.8,1,,1,2,2,1,1,1,4,4,6,6,1,86.4651832141154,14,73096000,7.5,730960,0,0,1,0,0,3.2857144,0,5.1902366,50,8349.3496,9.0299387,3.9120231
58769,3,7,1,8,2,22.83333333333333,2013,8,47,7,1,1,1,1,45,0,0,142.55287,1,1,3,,3,2,,2,2,2,1,11,8,6,4,4,4,0,95.7345707278858,14,73106000,23,731060,0,0,1,0,0,3,0,4.959713,45,7367.0732,8.9047756,3.8066626
58774,3,7,1,8,2,22.91666666666667,2014,2,47,7,5,2,4,1,40,0,0,190.0705,1,1,2,,3,1,,2,2,2,1,9,5,4,4,4,4,0,92.63325644031291,14,73107000,21,731070,0,0,1,0,3,3.2857144,0,5.247395,40,11050.61,9.3102407,3.6888795
58779,3,7,1,8,2,24.16666666666667,2014,2,20,5,2,2,1,1,40,1,0,158.39207,1,1,2,,3.8,2,,1,2,2,1,8,8,4,4,5,5,0,78.3763339748722,14,73131000,8,731310,0,0,1,0,5,3.4285715,0,5.0650735,41,8984.2354,9.1032267,3.713572
58803,3,7,1,10,1,23.75,2014,2,96,6,4,4,1,1,60,0,0,126.71366,1,1,2,,3,1,,1,2,2,2,10,10,4,4,3,3,1,50.4582591012904,14,73134000,18,731340,0,0,0,0,0,3.5714285,0,4.8419299,60,4911.3823,8.4993105,4.0943446
58838,3,7,1,3,2,22.25,2014,2,96,6,3,3,1,1,60,0,0,200.62996,2,2,2,,3.9,2,,2,2,2,1,14,3,5,6,5,5,0,89.923779768855,14,73033000,15,730330,0,0,1,0,5,4,0,5.3014622,60,7776.355,8.9588432,4.0943446
58868,3,7,1,6,2,21.66666666666667,2014,2,96,1,8,4,1,1,50,0,0,126.71366,2,2,2,,3.9,2,,2,2,2,1,13,6,4,4,5,5,0,104.350955419922,14,73020000,22,730200,0,0,1,0,4,3.5714285,0,4.8419299,50,5893.6587,8.681632,3.9120231
58892,3,7,1,1,2,22.16666666666667,2014,2,91,4,9,8,1,2,40,10,1,190.0705,1,1,1,2,4.3,2,,1,2,2,1,15,8,6,6,5,5,0,54.7649661887998,14,73088000,4,730880,0,0,0,0,1,2.8571429,0,5.247395,51,8667.1455,9.0672951,3.9318256
